Orthogroup	V_vinifera.proteins	A_coerulea.proteins
OG0000008	VIT_205s0020g04920.1	Aqcoe5G292100.1.p, Aqcoe5G371800.4.p, Aqcoe5G371800.8.p, Aqcoe5G371800.6.p, Aqcoe4G095300.2.p, Aqcoe4G095300.3.p, Aqcoe5G369100.1.p, Aqcoe5G370300.3.p, Aqcoe5G371800.2.p, Aqcoe5G371800.3.p, Aqcoe5G371800.5.p, Aqcoe5G371800.7.p, Aqcoe5G368700.2.p, Aqcoe4G095300.4.p, Aqcoe5G361500.2.p, Aqcoe5G361500.1.p, Aqcoe5G361500.3.p
OG0000008	VIT_207s0141g00780.1	Aqcoe4G095300.1.p, Aqcoe5G367200.1.p, Aqcoe5G367200.2.p, Aqcoe5G355800.1.p, Aqcoe5G370400.1.p, Aqcoe5G366700.1.p, Aqcoe5G370300.5.p, Aqcoe5G370300.4.p, Aqcoe5G370300.1.p, Aqcoe5G370300.2.p, Aqcoe5G369000.1.p, Aqcoe6G222400.1.p, Aqcoe5G368700.1.p, Aqcoe5G371800.1.p, Aqcoe5G452800.2.p, Aqcoe5G452800.1.p, Aqcoe5G379400.1.p, Aqcoe5G367100.1.p, Aqcoe5G378200.1.p
OG0000011	VIT_212s0035g00020.1, VIT_212s0035g00080.3, VIT_212s0035g00080.2, VIT_212s0034g02580.1, VIT_212s0035g00080.1, VIT_212s0034g02570.1, VIT_212s0142g00760.1, VIT_212s0035g00180.1, VIT_212s0035g00070.1, VIT_211s0037g00680.1, VIT_212s0034g02590.1, VIT_212s0142g00780.1, VIT_212s0035g00150.1, VIT_212s0035g00110.1, VIT_212s0035g00140.1, VIT_212s0142g00800.1, VIT_213s0084g00560.1, VIT_211s0037g00660.1, VIT_211s0037g00670.1, VIT_211s0037g00690.1, VIT_217s0000g02390.1, VIT_217s0000g02370.1	Aqcoe4G037600.1.p, Aqcoe4G019500.1.p, Aqcoe4G037100.1.p, Aqcoe4G037700.1.p, Aqcoe4G019600.1.p, Aqcoe4G037300.1.p, Aqcoe4G037900.1.p, Aqcoe7G310000.1.p, Aqcoe4G037800.1.p, Aqcoe4G038000.1.p, Aqcoe4G037200.1.p, Aqcoe4G037500.1.p, Aqcoe4G109700.1.p, Aqcoe4G156400.1.p, Aqcoe4G156400.2.p, Aqcoe4G037000.1.p, Aqcoe4G077100.1.p, Aqcoe4G077300.1.p, Aqcoe4G228700.1.p, Aqcoe4G039300.1.p, Aqcoe4G210900.1.p, Aqcoe4G104100.1.p, Aqcoe4G072100.1.p
OG0000011	VIT_214s0108g00370.1, VIT_214s0066g02660.1, VIT_214s0066g02670.1, VIT_214s0066g02680.1, VIT_210s0042g00590.1, VIT_210s0042g00770.1, VIT_210s0042g00600.1, VIT_210s0042g00700.1, VIT_214s0108g00340.1, VIT_214s0108g00300.1, VIT_214s0108g00280.1, VIT_214s0108g00310.1, VIT_204s0079g00240.1	Aqcoe5G458900.1.p, Aqcoe3G339400.2.p, Aqcoe3G339400.1.p, Aqcoe3G312000.1.p
OG0000011	VIT_207s0005g04060.1, VIT_207s0005g04050.1, VIT_207s0005g04020.1, VIT_207s0005g04040.1, VIT_207s0005g04080.1, VIT_207s0005g04100.1	Aqcoe5G018800.1.p, Aqcoe5G018900.1.p
OG0000015	VIT_200s0353g00060.4, VIT_200s0353g00060.5, VIT_200s0353g00060.3, VIT_200s0353g00060.2, VIT_200s0353g00060.1	Aqcoe3G211700.1.p
OG0000015	VIT_219s0014g04310.1, VIT_219s0014g04600.1, VIT_219s0014g04530.1, VIT_219s0014g04540.1, VIT_219s0014g04630.1, VIT_219s0014g04470.2, VIT_219s0014g04470.4, VIT_219s0014g04470.5, VIT_219s0014g04640.1, VIT_219s0014g04400.1, VIT_219s0014g04400.2, VIT_219s0014g04400.3, VIT_219s0014g04400.4, VIT_219s0014g04400.5, VIT_219s0014g04400.7, VIT_219s0014g04400.6, VIT_219s0014g04620.1, VIT_219s0014g04470.1, VIT_219s0014g04470.3, VIT_219s0014g04500.1, VIT_219s0014g04290.1	Aqcoe3G250200.1.p
OG0000016	VIT_213s0067g00470.1	Aqcoe7G324100.1.p
OG0000016	VIT_209s0018g01080.1, VIT_205s0029g01480.1, VIT_205s0029g01415.1, VIT_205s0029g01515.1, VIT_205s0029g01440.1, VIT_205s0029g01555.1, VIT_213s0067g00440.1	Aqcoe3G204000.2.p, Aqcoe3G204000.1.p, Aqcoe5G031200.1.p, Aqcoe1G041200.1.p, Aqcoe1G127100.1.p, Aqcoe1G127000.1.p, Aqcoe2G047400.1.p, Aqcoe5G031600.1.p, Aqcoe5G029700.1.p, Aqcoe2G098500.1.p, Aqcoe1G234000.1.p
OG0000016	VIT_213s0067g00490.1	Aqcoe4G270500.1.p, Aqcoe4G270400.1.p, Aqcoe6G180900.1.p, Aqcoe6G180900.2.p, Aqcoe7G305600.1.p, Aqcoe0526s0001.1.p, Aqcoe0720s0001.1.p, Aqcoe6G180100.1.p, Aqcoe7G300400.1.p, Aqcoe6G178600.1.p, Aqcoe6G179400.1.p, Aqcoe6G179300.1.p, Aqcoe6G179700.1.p, Aqcoe4G167900.1.p, Aqcoe7G307200.1.p, Aqcoe0047s0002.1.p, Aqcoe7G307400.1.p, Aqcoe7G298000.1.p, Aqcoe0726s0001.1.p, Aqcoe7G299300.1.p, Aqcoe4G035100.1.p, Aqcoe7G315800.1.p, Aqcoe7G315700.1.p, Aqcoe7G315900.1.p, Aqcoe7G284100.1.p, Aqcoe7G307300.1.p, Aqcoe4G174500.1.p
